system_id,latitude,longitude,elevation_m,azimuth,tilt,dc_capacity_kW,mean_power_generation_kW,performance_ratio
10328,33.062547,-117.243477,57.66820145,135.0,33.7,4.95,1.5249887240460396,0.308078530110311
10330,42.410783,-71.142445,9.627490997,135.0,1.0,5.565,1.1477905079302253,0.2062516635993217
10331,38.913961,-77.07179,55.01865387,225.0,16.0,6.12,1.1251297153061608,0.18384472472322888
10332,44.509744,-72.995228,192.5014343,180.0,40.0,15.08,3.0584250669361848,0.20281333335120588
10334,42.646942,-71.1513,19.25185776,135.0,1.0,10.2,2.0707824222574804,0.20301788453504713
10336,34.292898,-118.87134,222.0813599,180.0,26.0,6.0,1.4568401273800942,0.24280668789668236
10337,31.766355,-106.29828,1218.856934,135.0,1.0,5.0,1.929645670549196,0.3859291341098392
10338,33.122029,-117.15605,290.0811462,225.0,26.0,6.405,2.2050611057037486,0.3442718353948085
10340,42.092006,-71.54474,109.1096115,225.0,1.0,6.75,1.4942117919534037,0.22136470991902277
10341,33.975263,-118.35558,45.67590714,180.0,24.0,3.29,1.1944853332940415,0.36306545084925274
10344,37.779377,-120.796405,71.87200165,180.0,18.0,7.7,2.582633422107835,0.33540693793608245
10345,21.3307,-157.85913,72.22589111,180.0,0.0,4.485,1.6444398580535515,0.36665325709109287
10346,37.932123,-121.70381,24.3245945,180.0,20.0,6.0,1.9501009096495374,0.3250168182749229
10347,41.725195,-72.83032,80.49641418,180.0,37.0,7.2,1.4797257270251936,0.20551746208683244
10348,38.941594,-76.96369,22.63603592,180.0,1.0,5.985,1.004445047872173,0.16782707566786514
10349,33.628273,-117.631338,277.8401794,180.0,18.5,10.464,2.54040675497479,0.24277587490202504
10351,36.9707,-121.99086,14.86623669,270.0,18.5,5.46,1.3496210480913144,0.2471833421412664
10352,33.900378,-117.857657,105.0033112,180.0,18.43,7.15,2.3601228870963586,0.3300871170764138
10355,43.972505,-70.12291,43.96466446,225.0,30.0,6.72,1.8864613784683129,0.2807234194149275
10356,33.035844,-116.8513,467.0750732,180.0,26.0,14.0,4.20433181518801,0.30030941537057215
10357,32.8595,-116.963952,125.4792709,180.0,18.0,7.2,2.7903659280672697,0.3875508233426763
10358,45.579597,-122.71137,44.41763306,180.0,43.0,2.45,0.4684701606058801,0.19121231045137962
10360,33.096906,-117.225168,165.1265106,225.0,18.0,7.32,2.6248809545892273,0.3585902943427906
10361,37.41159,-119.849546,584.0562744,225.0,38.0,5.88,2.164048193622417,0.36803540707864235
10363,42.880837,-71.18252,91.41226959,180.0,42.0,9.1,2.2154596664494677,0.2434571062032382
10364,33.611272,-117.66681,161.0991974,225.0,15.0,19.5,5.374151011624457,0.2755974877756132
10365,33.615462,-117.64093,213.5056458,90.0,30.0,8.71,2.399844929797819,0.27552754647506533
10366,37.39324,-121.96066,6.409792423,90.0,23.0,5.98,1.8989507164282855,0.31755028702814136
10369,43.080399,-73.77038,95.4152832,135.0,40.0,8.4,1.8147599236875365,0.21604284805804005
10370,20.865115,-156.33158,371.39505,180.0,30.0,7.15,1.9064621958416548,0.26663806934848316
10371,37.299474,-121.75446,165.5743561,225.0,19.0,3.9,1.225274580639947,0.3141729693948582
10372,39.020359,-77.0115,103.0412292,225.0,1.0,2.8,0.6461072969612308,0.23075260605758244
10373,42.169751,-122.61772,614.6245117,180.0,23.0,3.92,1.0840606910236867,0.2765460946488997
10374,32.973645,-117.03701,162.7724609,225.0,27.0,12.0,5.354538518123871,0.44621154317698924
